"","time","avg.parasites","alive.or.dead","resistance.level","sim.num"
"1154",12,13.2087912087912,"alive","Higher Infection Resistance","10"
"1155",13,13.0111111111111,"alive","Higher Infection Resistance","10"
"1156",14,12.8777777777778,"alive","Higher Infection Resistance","10"
"1157",15,12.6629213483146,"alive","Higher Infection Resistance","10"
"1158",16,12.4886363636364,"alive","Higher Infection Resistance","10"
"1159",17,12.2840909090909,"alive","Higher Infection Resistance","10"
"1160",18,12.2298850574713,"alive","Higher Infection Resistance","10"
"1161",19,12.0459770114943,"alive","Higher Infection Resistance","10"
"1162",20,11.9770114942529,"alive","Higher Infection Resistance","10"
"1193",1,18.67,"alive","Higher Clearance","10"
"1194",2,16.6262626262626,"alive","Higher Clearance","10"
"1195",3,15.1919191919192,"alive","Higher Clearance","10"
"1196",4,13.8367346938776,"alive","Higher Clearance","10"
"1197",5,12.3958333333333,"alive","Higher Clearance","10"
"1198",6,11.1041666666667,"alive","Higher Clearance","10"
"1199",7,9.94736842105263,"alive","Higher Clearance","10"
"1200",8,8.85106382978723,"alive","Higher Clearance","10"
"1201",9,8.23655913978495,"alive","Higher Clearance","10"
"1202",10,7.26881720430108,"alive","Higher Clearance","10"
"1203",11,6.54347826086957,"alive","Higher Clearance","10"
"1204",12,5.82608695652174,"alive","Higher Clearance","10"
"1205",13,5.16304347826087,"alive","Higher Clearance","10"
"1206",14,4.64130434782609,"alive","Higher Clearance","10"
"1207",15,4.21978021978022,"alive","Higher Clearance","10"
"1208",16,3.71428571428571,"alive","Higher Clearance","10"
"1209",17,3.37362637362637,"alive","Higher Clearance","10"
"1210",18,3.06593406593407,"alive","Higher Clearance","10"
"1211",19,2.69230769230769,"alive","Higher Clearance","10"
"1212",20,2.40659340659341,"alive","Higher Clearance","10"
"1277",1,15.11,"alive","Higher Infection Resistance","11"
"1278",2,15.020202020202,"alive","Higher Infection Resistance","11"
"1279",3,14.8686868686869,"alive","Higher Infection Resistance","11"
"1280",4,14.680412371134,"alive","Higher Infection Resistance","11"
"1281",5,14.53125,"alive","Higher Infection Resistance","11"
"1282",6,14.4526315789474,"alive","Higher Infection Resistance","11"
"1283",7,14.3894736842105,"alive","Higher Infection Resistance","11"
"1284",8,14.1808510638298,"alive","Higher Infection Resistance","11"
"1285",9,14.0212765957447,"alive","Higher Infection Resistance","11"
"1286",10,13.8404255319149,"alive","Higher Infection Resistance","11"
"1287",11,13.7956989247312,"alive","Higher Infection Resistance","11"
"1288",12,13.6881720430108,"alive","Higher Infection Resistance","11"
"1289",13,13.5591397849462,"alive","Higher Infection Resistance","11"
"1290",14,13.4673913043478,"alive","Higher Infection Resistance","11"
"1291",15,13.3076923076923,"alive","Higher Infection Resistance","11"
"1292",16,13.1868131868132,"alive","Higher Infection Resistance","11"
"1293",17,13.0549450549451,"alive","Higher Infection Resistance","11"
"1294",18,13,"alive","Higher Infection Resistance","11"
"1295",19,12.8314606741573,"alive","Higher Infection Resistance","11"
"1296",20,12.685393258427,"alive","Higher Infection Resistance","11"
"1327",1,18.7,"alive","Higher Clearance","11"
"1328",2,16.78,"alive","Higher Clearance","11"
